,Age,23,Gender,male,
CHOICE,
TIMES,911,499,398,358,488,512,491,338,375,388,429,316,348,311,359,338,375,349,395,400,446,294,494,818,389,Count,25,Mean,433,SD,142,Error Rate,10.714285714285714,Errors,3,
COMPLEX,
TIMES,1224,998,772,1007,1032,1303,868,869,958,891,660,823,880,1283,752,1200,571,911,970,931,898,772,899,1001,4437,Count,25,Mean,1076,SD,708,Error Rate,13.793103448275861,Errors,4,
SIMPLE PIC,
TIMES,415,457,321,444,751,266,312,261,257,299,303,352,378,286,276,295,564,257,267,315,Count,20,Mean,354,SD,121,Error Rate,4.761904761904762,Errors,1,
SIMPLE AUDIO,
TIMES,483,387,378,318,384,391,362,329,371,419,354,362,372,323,403,532,331,364,296,359,Count,20,Mean,376,SD,53,Error Rate,0,Errors,0,
