,Age,24,Gender,male,
SIMPLE PIC,
TIMES,485,549,461,292,377,289,320,389,313,317,378,345,267,263,298,261,361,260,285,Count,19,Mean,343,SD,80,Error Rate,0,Errors,0,
SIMPLE AUDIO,
TIMES,358,313,302,315,360,306,346,271,288,298,283,303,383,300,333,244,294,265,338,281,Count,20,Mean,309,SD,34,Error Rate,0,Errors,0,
CHOICE,
TIMES,510,434,422,579,530,545,586,372,463,410,526,512,446,476,443,449,381,468,540,325,481,508,443,385,371,Count,25,Mean,464,SD,67,Error Rate,13.793103448275861,Errors,4,
COMPLEX,
TIMES,3635,1347,1102,1552,1161,1070,1161,911,2274,973,1352,784,1995,1197,886,1377,1054,1106,1588,894,1639,992,1586,1538,1633,Count,25,Mean,1392,SD,579,Error Rate,7.4074074074074066,Errors,2,
