,Age,21,Gender,male,
COMPLEX,
TIMES,1508,1156,1018,852,809,804,851,682,1207,1014,1783,999,823,815,856,850,998,1080,849,1026,770,1058,1303,895,863,Count,25,Mean,995,SD,243,Error Rate,3.8461538461538463,Errors,1,
CHOICE,
TIMES,420,801,452,420,347,578,441,377,470,472,510,624,434,543,544,498,451,377,612,574,356,546,492,536,389,Count,25,Mean,491,SD,100,Error Rate,3.8461538461538463,Errors,1,
SIMPLE PIC,
TIMES,435,416,338,375,322,350,323,375,555,338,404,332,333,307,297,270,362,250,256,240,Count,20,Mean,344,SD,71,Error Rate,0,Errors,0,
SIMPLE AUDIO,
TIMES,691,385,280,306,249,240,299,232,259,250,219,253,233,252,243,242,219,246,224,217,Count,20,Mean,277,SD,102,Error Rate,0,Errors,0,
