,Age,29,Gender,male,
SIMPLE PIC,
TIMES,306,293,224,254,264,316,241,290,237,264,225,271,290,296,275,328,292,294,291,294,Count,20,Mean,277,SD,28,Error Rate,0,Errors,0,
COMPLEX,
TIMES,994,950,746,613,1172,781,673,821,637,675,629,1309,820,942,1544,731,863,697,935,814,1315,870,951,826,915,Count,25,Mean,889,SD,228,Error Rate,3.8461538461538463,Errors,1,
SIMPLE AUDIO,
TIMES,319,214,302,231,278,202,179,189,252,282,272,213,245,296,188,205,229,205,241,228,Count,20,Mean,239,SD,40,Error Rate,0,Errors,0,
CHOICE,
TIMES,330,410,546,472,372,465,437,555,524,462,441,622,373,371,370,367,369,431,384,1079,360,378,369,356,366,Count,25,Mean,448,SD,148,Error Rate,3.8461538461538463,Errors,1,
