,Age,22,Gender,male,
COMPLEX,
TIMES,4171,1576,1416,1385,1222,1388,1062,1242,1336,1099,1119,1220,1145,1018,1029,907,1293,1312,925,829,2938,1466,1171,1494,796,Count,25,Mean,1382,SD,694,Error Rate,3.8461538461538463,Errors,1,
CHOICE,
TIMES,411,619,854,477,532,510,372,357,319,309,510,400,613,487,501,454,375,557,438,676,459,545,466,329,2163,Count,25,Mean,549,SD,351,Error Rate,21.875,Errors,7,
SIMPLE PIC,
TIMES,617,495,388,312,368,465,441,384,925,393,437,535,341,488,344,335,373,670,591,877,Count,20,Mean,489,SD,168,Error Rate,4.761904761904762,Errors,1,
SIMPLE AUDIO,
TIMES,766,674,443,482,686,532,481,403,325,319,293,263,355,273,316,456,342,361,368,384,Count,20,Mean,426,SD,139,Error Rate,0,Errors,0,
